Code,tsn1,tsn2,ClusterID
SLE,9.473785,-9.382246,1
SLV,-3.506999,-0.31286538,0
SRB,2.863597,4.9655876,3
STP,6.9739065,-8.369374,1
SUR,-8.566984,0.23140845,0
SVK,2.4781177,2.4582024,3
SVN,3.1351871,3.5551577,3
SWE,-5.61819,8.678045,2
SWZ,8.236247,-7.0201373,1
SYC,3.3179939,0.1403312,3
TCD,8.540596,-10.770244,1
TGO,8.554999,-8.61834,1
THA,2.4297736,1.1124606,3
TJK,5.3446374,-4.3910666,1
TKM,5.4554296,-2.6465428,3
TLS,3.718552,-6.0719633,1
TON,3.460331,-5.2184052,1
TTO,-8.0369835,-0.5936913,0
TUN,-3.4881153,-3.356766,0
TUR,-3.8535373,1.217293,0
TZA,8.378031,-9.011949,1
UGA,10.562855,-9.230927,1
UKR,4.2648,3.7232904,3
URY,-4.646134,6.140682,2
USA,-7.0685506,5.486414,2
UZB,5.496308,-2.8887327,3
VCT,-7.7605023,-0.054716077,0
VNM,4.5446687,-0.5386553,3
VUT,3.057378,-5.936393,1
WSM,3.4279025,-5.7284474,1
ZAF,7.8483353,-4.54828,1
ZMB,8.08058,-9.246292,1
ZWE,7.082922,-9.724612,1
