Index,Series,Name,Code,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19
293,"Population, total",Oman,OMN,3041435.0,3251102.0,3498031.0,3764805.0,4027255.0,4267341.0,4479217.0,4665926.0,4829476.0,4974992.0
294,"Population, total",Pakistan,PAK,179424643.0,183340168.0,187280125.0,191260799.0,195305012.0,199426953.0,203631356.0,207906210.0,212228288.0,216565317.0
295,"Population, total",Panama,PAN,3642691.0,3706479.0,3770635.0,3835447.0,3901311.0,3968490.0,4037073.0,4106764.0,4176868.0,4246440.0
296,"Population, total",Papua New Guinea,PNG,7310512.0,7472196.0,7631003.0,7788388.0,7946733.0,8107772.0,8271766.0,8438038.0,8606324.0,8776119.0
297,"Population, total",Paraguay,PRY,6248017.0,6333981.0,6421510.0,6510273.0,6599524.0,6688746.0,6777878.0,6867058.0,6956069.0,7044639.0
298,"Population, total",Peru,PER,29027680.0,29264314.0,29506790.0,29773986.0,30090372.0,30470739.0,30926036.0,31444299.0,31989265.0,32510462.0
299,"Population, total",Philippines,PHL,93966784.0,95570049.0,97212639.0,98871558.0,100513137.0,102113206.0,103663812.0,105172921.0,106651394.0,108116622.0
300,"Population, total",Poland,POL,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0
301,"Population, total",Portugal,PRT,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10286263.0
302,"Population, total",Qatar,QAT,1856329.0,2035862.0,2196078.0,2336579.0,2459202.0,2565708.0,2654379.0,2724727.0,2781682.0,2832071.0
303,"Population, total",Romania,ROU,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0
304,"Population, total",Russian Federation,RUS,142849468.0,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,144406261.0
305,"Population, total",Rwanda,RWA,10039338.0,10293333.0,10549668.0,10811538.0,11083629.0,11369066.0,11668829.0,11980960.0,12301969.0,12626938.0
306,"Population, total",Samoa,WSM,185944.0,187469.0,189089.0,190712.0,192220.0,193510.0,194540.0,195358.0,196128.0,197093.0
307,"Population, total",Sao Tome and Principe,STP,180372.0,184521.0,188394.0,192076.0,195727.0,199439.0,203221.0,207086.0,211032.0,215048.0
308,"Population, total",Saudi Arabia,SAU,27421468.0,28267591.0,29154906.0,30052058.0,30916603.0,31717676.0,32443443.0,33101183.0,33702757.0,34268529.0
309,"Population, total",Senegal,SEN,12678143.0,13033814.0,13401990.0,13782429.0,14174740.0,14578450.0,14993514.0,15419354.0,15854324.0,16296362.0
310,"Population, total",Serbia,SRB,7291436.0,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,6982604.0,6945235.0
311,"Population, total",Seychelles,SYC,89770.0,87441.0,88303.0,89949.0,91359.0,93419.0,94677.0,95843.0,96762.0,97625.0
312,"Population, total",Sierra Leone,SLE,6415636.0,6563238.0,6712586.0,6863975.0,7017153.0,7171909.0,7328846.0,7488427.0,7650149.0,7813207.0
313,"Population, total",Singapore,SGP,5076732.0,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0
314,"Population, total",Slovak Republic,SVK,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454147.0
315,"Population, total",Slovenia,SVN,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2088385.0
316,"Population, total",Solomon Islands,SLB,527861.0,541522.0,556066.0,571329.0,587079.0,603133.0,619438.0,636030.0,652856.0,669821.0
317,"Population, total",South Africa,ZAF,51216967.0,52003759.0,52832659.0,53687125.0,54544184.0,55386369.0,56207649.0,57009751.0,57792520.0,58558267.0
318,"Population, total",Spain,ESP,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47133521.0
319,"Population, total",Sri Lanka,LKA,20261738.0,20398496.0,20425000.0,20585000.0,20778000.0,20970000.0,21203000.0,21444000.0,21670000.0,21803000.0
320,"Population, total",St. Lucia,LCA,174092.0,175538.0,176654.0,177505.0,178307.0,179131.0,180028.0,180955.0,181890.0,182795.0
321,"Population, total",St. Vincent and the Grenadines,VCT,108260.0,108315.0,108435.0,108624.0,108868.0,109135.0,109467.0,109826.0,110210.0,110593.0
322,"Population, total",Sudan,SDN,34545014.0,35349676.0,36193781.0,37072555.0,37977657.0,38902948.0,39847433.0,40813398.0,41801532.0,42813237.0
323,"Population, total",Suriname,SUR,529126.0,535177.0,541247.0,547295.0,553278.0,559136.0,564883.0,570501.0,575987.0,581363.0
324,"Population, total",Sweden,SWE,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0
325,"Population, total",Switzerland,CHE,7824909.0,7912398.0,7996861.0,8089346.0,8188649.0,8282396.0,8373338.0,8451840.0,8514329.0,8575280.0
326,"Population, total",Tajikistan,TJK,7527397.0,7697507.0,7874838.0,8059782.0,8252828.0,8454019.0,8663575.0,8880270.0,9100847.0,9321023.0
327,"Population, total",Tanzania,TZA,44346532.0,45673520.0,47053033.0,48483132.0,49960563.0,51482638.0,53049231.0,54660345.0,56313444.0,58005461.0
328,"Population, total",Thailand,THA,67195032.0,67518379.0,67835969.0,68144519.0,68438748.0,68714519.0,68971313.0,69209817.0,69428454.0,69625581.0
329,"Population, total",Timor-Leste,TLS,1093517.0,1113154.0,1133002.0,1153288.0,1174333.0,1196294.0,1219289.0,1243260.0,1267975.0,1293120.0
330,"Population, total",Togo,TGO,6421674.0,6595939.0,6773807.0,6954721.0,7137997.0,7323162.0,7509952.0,7698476.0,7889095.0,8082359.0
331,"Population, total",Tonga,TON,103981.0,103558.0,102736.0,101768.0,101023.0,100780.0,101143.0,102002.0,103199.0,104497.0
332,"Population, total",Trinidad and Tobago,TTO,1328144.0,1336180.0,1344814.0,1353708.0,1362337.0,1370332.0,1377563.0,1384060.0,1389841.0,1394969.0
333,"Population, total",Tunisia,TUN,10635245.0,10741872.0,10846993.0,10952949.0,11063195.0,11179951.0,11303942.0,11433438.0,11565203.0,11694721.0
334,"Population, total",Turkey,TUR,72326992.0,73443254.0,74651046.0,75925454.0,77229262.0,78529413.0,79827868.0,81116451.0,82340090.0,83429607.0
335,"Population, total",Turkmenistan,TKM,5087211.0,5174076.0,5267906.0,5366376.0,5466324.0,5565283.0,5662371.0,5757667.0,5850902.0,5942094.0
336,"Population, total",Uganda,UGA,32428164.0,33476772.0,34558700.0,35694519.0,36911530.0,38225447.0,39649173.0,41166588.0,42729032.0,44269587.0
337,"Population, total",Ukraine,UKR,45870741.0,45706086.0,45593342.0,45489648.0,45272155.0,45154036.0,45004673.0,44831135.0,44622518.0,44386203.0
338,"Population, total",United Arab Emirates,ARE,8549998.0,8946778.0,9141598.0,9197908.0,9214182.0,9262896.0,9360975.0,9487206.0,9630966.0,9770526.0
339,"Population, total",United Kingdom,GBR,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0
340,"Population, total",United States,USA,309327143.0,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0
341,"Population, total",Uruguay,URY,3359273.0,3368926.0,3378975.0,3389436.0,3400439.0,3412013.0,3424139.0,3436645.0,3449290.0,3461731.0
342,"Population, total",Uzbekistan,UZB,28562400.0,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0
343,"Population, total",Vanuatu,VUT,236216.0,242658.0,249505.0,256637.0,263888.0,271128.0,278326.0,285499.0,292675.0,299882.0
345,"Population, total",Vietnam,VNM,87967655.0,88871384.0,89801926.0,90752593.0,91713850.0,92677082.0,93640435.0,94600643.0,95545959.0,96462108.0
346,"Population, total",Zambia,ZMB,13605986.0,14023199.0,14465148.0,14926551.0,15399793.0,15879370.0,16363449.0,16853608.0,17351714.0,17861034.0
347,"Population, total",Zimbabwe,ZWE,12697728.0,12894323.0,13115149.0,13350378.0,13586710.0,13814642.0,14030338.0,14236599.0,14438812.0,14645473.0
348,"Population ages 15-64, total",Afghanistan,AFG,14444996.0,15041824.0,15743958.0,16519812.0,17322062.0,18116800.0,18826589.0,19513959.0,20193609.0,20889465.0
349,"Population ages 15-64, total",Algeria,DZA,24198798.0,24569853.0,24959503.0,25342751.0,25690645.0,25993585.0,26300650.0,26564898.0,26810324.0,27079012.0
350,"Population ages 15-64, total",Angola,AGO,11817708.0,12233379.0,12671462.0,13130634.0,13610929.0,14113725.0,14618993.0,15149241.0,15705197.0,16287753.0
351,"Population ages 15-64, total",Antigua and Barbuda,ATG,60126.0,61125.0,62129.0,63102.0,64003.0,64815.0,65438.0,66027.0,66549.0,67000.0
352,"Population ages 15-64, total",Argentina,ARG,26010395.0,26358138.0,26687229.0,27002574.0,27315081.0,27630346.0,27924237.0,28225466.0,28530443.0,28833291.0
353,"Population ages 15-64, total",Armenia,ARM,2001042.0,2004811.0,2009727.0,2014464.0,2018089.0,2019881.0,2018926.0,2015678.0,2010512.0,2003872.0
354,"Population ages 15-64, total",Australia,AUS,14891504.0,15042394.0,15250481.0,15455787.0,15623408.0,15780014.0,15943398.0,16121831.0,16276948.0,16437853.0
355,"Population ages 15-64, total",Austria,AUT,5644039.0,5658054.0,5678351.0,5704617.0,5740267.0,5794026.0,5846595.0,5877874.0,5896670.0,5910700.0
356,"Population ages 15-64, total",Azerbaijan,AZE,6452695.0,6565755.0,6665639.0,6749582.0,6822750.0,6888625.0,6930695.0,6969033.0,7001102.0,7028194.0
357,"Population ages 15-64, total","Bahamas, The",BHS,237816.0,242247.0,246655.0,251039.0,255302.0,259387.0,263684.0,267474.0,270938.0,274358.0
358,"Population ages 15-64, total",Bahrain,BHR,963018.0,990589.0,1006064.0,1015656.0,1029179.0,1053941.0,1101676.0,1162186.0,1229175.0,1292622.0
359,"Population ages 15-64, total",Bangladesh,BGD,93328526.0,95108484.0,96906019.0,98734867.0,100611229.0,102533152.0,104440785.0,106391908.0,108341203.0,110227827.0
360,"Population ages 15-64, total",Barbados,BRB,189045.0,189797.0,190325.0,190697.0,190998.0,191260.0,191502.0,191627.0,191631.0,191496.0
361,"Population ages 15-64, total",Belarus,BLR,6746814.0,6715630.0,6677494.0,6637906.0,6600491.0,6567276.0,6540510.0,6499932.0,6445643.0,6383095.0
362,"Population ages 15-64, total",Belgium,BEL,7167469.0,7246345.0,7271587.0,7282454.0,7291041.0,7311715.0,7321395.0,7323263.0,7331122.0,7345506.0
363,"Population ages 15-64, total",Belize,BLZ,194474.0,201422.0,208299.0,215167.0,222115.0,229118.0,235649.0,242302.0,248934.0,255400.0
364,"Population ages 15-64, total",Benin,BEN,4868622.0,5015984.0,5172099.0,5336025.0,5506536.0,5683013.0,5859863.0,6044379.0,6236226.0,6435120.0
365,"Population ages 15-64, total",Bhutan,BTN,436573.0,446293.0,456420.0,466741.0,476945.0,486795.0,496649.0,505907.0,514691.0,523229.0
366,"Population ages 15-64, total",Bolivia,BOL,5968195.0,6095370.0,6222545.0,6350486.0,6480521.0,6613026.0,6742201.0,6874595.0,7008805.0,7142280.0
367,"Population ages 15-64, total",Bosnia and Herzegovina,BIH,2605074.0,2572147.0,2534303.0,2494032.0,2452272.0,2410083.0,2370397.0,2327792.0,2285649.0,2248148.0
368,"Population ages 15-64, total",Botswana,BWA,1226338.0,1243364.0,1256436.0,1267950.0,1281343.0,1298871.0,1324650.0,1355556.0,1389929.0,1425281.0
369,"Population ages 15-64, total",Brazil,BRA,133781681.0,135602166.0,137364151.0,139067238.0,140699018.0,142243098.0,143590073.0,144882354.0,146090377.0,147184242.0
370,"Population ages 15-64, total",Brunei Darussalam,BRN,274575.0,279705.0,284506.0,289077.0,293594.0,298063.0,301477.0,305356.0,309282.0,312730.0
371,"Population ages 15-64, total",Bulgaria,BGR,5060439.0,4991351.0,4923015.0,4854077.0,4785446.0,4716474.0,4651208.0,4585049.0,4522903.0,4468788.0
372,"Population ages 15-64, total",Burkina Faso,BFA,8006836.0,8259142.0,8528775.0,8813599.0,9111230.0,9420814.0,9733884.0,10059144.0,10398147.0,10753038.0
373,"Population ages 15-64, total",Burundi,BDI,4571942.0,4720153.0,4867496.0,5015016.0,5165694.0,5322178.0,5485536.0,5657951.0,5839290.0,6029022.0
374,"Population ages 15-64, total",Cabo Verde,CPV,307218.0,315673.0,323484.0,330683.0,337474.0,343961.0,350175.0,356278.0,362217.0,367881.0
375,"Population ages 15-64, total",Cambodia,KHM,9008108.0,9202172.0,9406756.0,9610514.0,9802044.0,9976967.0,10146087.0,10296732.0,10437228.0,10581563.0
376,"Population ages 15-64, total",Cameroon,CMR,10875576.0,11191313.0,11519533.0,11861118.0,12218619.0,12593703.0,12969363.0,13364255.0,13778050.0,14209816.0
377,"Population ages 15-64, total",Canada,CAN,23585034.0,23739986.0,23917884.0,24077745.0,24209116.0,24261870.0,24426969.0,24590405.0,24795767.0,25001932.0
378,"Population ages 15-64, total",Central African Republic,CAF,2321452.0,2322800.0,2320216.0,2318195.0,2321884.0,2334840.0,2369232.0,2413931.0,2467575.0,2527529.0
379,"Population ages 15-64, total",Chad,TCD,5818145.0,6031616.0,6260843.0,6503160.0,6755405.0,7015781.0,7267359.0,7528309.0,7799719.0,8083062.0
380,"Population ages 15-64, total",Chile,CHL,11697421.0,11840216.0,11974750.0,12103916.0,12234050.0,12369487.0,12531893.0,12704687.0,12869989.0,13005680.0
381,"Population ages 15-64, total",China,CHN,980077454.0,984982578.0,990955995.0,996268459.0,1000075524.0,1001976146.0,1002022583.0,1001330750.0,998794770.0,995603700.0
382,"Population ages 15-64, total",Colombia,COL,29912581.0,30404434.0,30847680.0,31271416.0,31717551.0,32207435.0,32767678.0,33378033.0,33990041.0,34539596.0
383,"Population ages 15-64, total",Comoros,COM,386270.0,396973.0,408051.0,419438.0,431053.0,442864.0,454279.0,466071.0,478207.0,490613.0
384,"Population ages 15-64, total","Congo, Dem. Rep.",COD,32842559.0,33867934.0,34955012.0,36104198.0,37320751.0,38608872.0,39893705.0,41266544.0,42720477.0,44247274.0
385,"Population ages 15-64, total","Congo, Rep.",COG,2386562.0,2444301.0,2501207.0,2558819.0,2619243.0,2684268.0,2755422.0,2831974.0,2913494.0,2999165.0
386,"Population ages 15-64, total",Costa Rica,CRI,3130503.0,3179158.0,3226284.0,3271322.0,3313654.0,3353092.0,3389553.0,3423989.0,3455885.0,3484883.0
387,"Population ages 15-64, total",Cote d'Ivoire,CIV,10989334.0,11295796.0,11619224.0,11959618.0,12317078.0,12690450.0,13054498.0,13438829.0,13839237.0,14250103.0
388,"Population ages 15-64, total",Croatia,HRV,2877813.0,2856126.0,2840765.0,2829802.0,2814384.0,2783338.0,2753101.0,2703200.0,2658840.0,2625245.0
389,"Population ages 15-64, total",Cuba,CUB,7826468.0,7828113.0,7835239.0,7844130.0,7848896.0,7845647.0,7825542.0,7803179.0,7778257.0,7751275.0
390,"Population ages 15-64, total",Cyprus,CYP,787131.0,795452.0,802068.0,807171.0,811525.0,815842.0,819172.0,822807.0,826455.0,829948.0
391,"Population ages 15-64, total",Czech Republic,CZE,7365424.0,7317324.0,7258124.0,7186005.0,7116772.0,7054347.0,7002546.0,6951850.0,6908658.0,6880827.0
392,"Population ages 15-64, total",Denmark,DNK,3627218.0,3629632.0,3631273.0,3632226.0,3634226.0,3643647.0,3664797.0,3680871.0,3692214.0,3699937.0
393,"Population ages 15-64, total",Djibouti,DJI,534465.0,546465.0,558387.0,570284.0,582527.0,595259.0,606520.0,618966.0,631914.0,644358.0
394,"Population ages 15-64, total",Dominican Republic,DOM,6160071.0,6264104.0,6364834.0,6462221.0,6556641.0,6648321.0,6735367.0,6819792.0,6901275.0,6979561.0
395,"Population ages 15-64, total",Ecuador,ECU,9452053.0,9644636.0,9838178.0,10033527.0,10230987.0,10430610.0,10641597.0,10857987.0,11073077.0,11279123.0
396,"Population ages 15-64, total","Egypt, Arab Rep.",EGY,51850640.0,52908712.0,53904414.0,54872338.0,55871428.0,56930105.0,57809111.0,58865210.0,60010346.0,61125132.0
397,"Population ages 15-64, total",El Salvador,SLV,3789851.0,3838960.0,3892529.0,3946985.0,3997000.0,4039973.0,4082034.0,4117125.0,4146567.0,4173638.0
398,"Population ages 15-64, total",Equatorial Guinea,GNQ,553076.0,580580.0,609739.0,639634.0,669825.0,700405.0,729637.0,760123.0,790950.0,821979.0
399,"Population ages 15-64, total",Estonia,EST,896652.0,888349.0,879415.0,870282.0,861690.0,855639.0,852779.0,849251.0,846284.0,843176.0
400,"Population ages 15-64, total",Eswatini,SWZ,597848.0,602969.0,609005.0,615579.0,622188.0,628750.0,639052.0,648426.0,657595.0,667683.0
401,"Population ages 15-64, total",Ethiopia,ETH,45368328.0,47105724.0,48932872.0,50839226.0,52808956.0,54825796.0,56781160.0,58798058.0,60855347.0,62928695.0
402,"Population ages 15-64, total",Fiji,FJI,569034.0,570314.0,570031.0,568562.0,566927.0,566170.0,568085.0,570846.0,574602.0,579201.0
403,"Population ages 15-64, total",Finland,FIN,3553105.0,3544386.0,3529791.0,3510727.0,3490743.0,3471884.0,3455182.0,3440986.0,3427018.0,3414728.0
404,"Population ages 15-64, total",France,FRA,42053369.0,42065655.0,42019760.0,41950712.0,41868703.0,41770003.0,41682778.0,41637179.0,41609176.0,41564189.0
405,"Population ages 15-64, total",Gabon,GAB,949721.0,992018.0,1036950.0,1082663.0,1127187.0,1169403.0,1200824.0,1230488.0,1259066.0,1287811.0
406,"Population ages 15-64, total","Gambia, The",GMB,935987.0,966325.0,998268.0,1031636.0,1066310.0,1102223.0,1137054.0,1173529.0,1211670.0,1251603.0
407,"Population ages 15-64, total",Georgia,GEO,2567536.0,2543624.0,2519263.0,2503452.0,2493684.0,2484190.0,2469523.0,2452928.0,2434900.0,2414664.0
408,"Population ages 15-64, total",Germany,DEU,53873715.0,52809101.0,52878539.0,53010250.0,53192333.0,53557394.0,53852728.0,53874035.0,53819953.0,53709229.0
409,"Population ages 15-64, total",Ghana,GHA,14341334.0,14735647.0,15134181.0,15538692.0,15952155.0,16376582.0,16789140.0,17219569.0,17662326.0,18110125.0
410,"Population ages 15-64, total",Greece,GRC,7317088.0,7279540.0,7214133.0,7136265.0,7063412.0,6992363.0,6952093.0,6925566.0,6898397.0,6879174.0
411,"Population ages 15-64, total",Grenada,GRD,70361.0,70954.0,71717.0,72491.0,73141.0,73625.0,74056.0,74321.0,74467.0,74599.0
412,"Population ages 15-64, total",Guatemala,GTM,8034407.0,8276713.0,8512533.0,8746882.0,8984298.0,9225408.0,9456706.0,9693118.0,9931186.0,10163604.0
413,"Population ages 15-64, total",Guinea,GIN,5175798.0,5313631.0,5458530.0,5612445.0,5777359.0,5954581.0,6158656.0,6377056.0,6607358.0,6846423.0
414,"Population ages 15-64, total",Guinea-Bissau,GNB,824454.0,847355.0,871693.0,897056.0,923022.0,949403.0,974702.0,1000771.0,1027815.0,1056179.0
415,"Population ages 15-64, total",Guyana,GUY,473386.0,478839.0,484097.0,489075.0,493797.0,498255.0,501893.0,505578.0,508966.0,511610.0
416,"Population ages 15-64, total",Haiti,HTI,5895247.0,6018213.0,6143951.0,6271124.0,6397835.0,6522969.0,6641410.0,6758562.0,6875056.0,6991865.0
417,"Population ages 15-64, total",Honduras,HND,4860526.0,5012283.0,5169253.0,5329440.0,5488902.0,5645126.0,5799720.0,5949151.0,6094645.0,6238721.0
418,"Population ages 15-64, total",Hungary,HUN,6904786.0,6873528.0,6826448.0,6792201.0,6750522.0,6701387.0,6636894.0,6562819.0,6493935.0,6436478.0
419,"Population ages 15-64, total",Iceland,ISL,213715.0,213713.0,214157.0,215407.0,216932.0,218248.0,220678.0,225218.0,230583.0,234945.0
420,"Population ages 15-64, total",India,IND,791275567.0,805553067.0,820295461.0,835217793.0,849862019.0,863969043.0,877814039.0,890731260.0,903115190.0,915551973.0
421,"Population ages 15-64, total",Indonesia,IDN,160116952.0,162834657.0,165487914.0,168130541.0,170817349.0,173544645.0,175878309.0,178383090.0,180922906.0,183307085.0
422,"Population ages 15-64, total",Iran,IRN,52229817.0,52941250.0,53583465.0,54164408.0,54696492.0,55189326.0,55736629.0,56240551.0,56719335.0,57199658.0
423,"Population ages 15-64, total",Iraq,IRQ,16308982.0,17033717.0,17862517.0,18750462.0,19638482.0,20484555.0,21141845.0,21778437.0,22402884.0,23027887.0
424,"Population ages 15-64, total",Ireland,IRL,3110223.0,3096398.0,3082560.0,3072327.0,3068647.0,3072081.0,3095584.0,3119517.0,3150506.0,3188906.0
425,"Population ages 15-64, total",Israel,ISR,4748577.0,4818704.0,4887353.0,4956123.0,5027873.0,5104539.0,5178968.0,5256726.0,5338364.0,5423867.0
426,"Population ages 15-64, total",Italy,ITA,38823371.0,38757674.0,38712836.0,39007077.0,39223884.0,39071616.0,38898890.0,38758774.0,38621108.0,38119820.0
427,"Population ages 15-64, total",Jamaica,JAM,1819694.0,1844051.0,1868182.0,1891553.0,1913524.0,1933815.0,1949955.0,1965510.0,1979654.0,1991455.0
428,"Population ages 15-64, total",Japan,JPN,82153251.0,81219621.0,80252578.0,79281609.0,78362321.0,77544929.0,76823835.0,76168000.0,75571759.0,75032834.0
429,"Population ages 15-64, total",Jordan,JOR,4276455.0,4524066.0,4792490.0,5068173.0,5335525.0,5584745.0,5804859.0,5999064.0,6169333.0,6318040.0
430,"Population ages 15-64, total",Kazakhstan,KAZ,11283976.0,11387642.0,11475051.0,11551018.0,11617712.0,11673506.0,11703874.0,11715232.0,11723906.0,11749963.0
431,"Population ages 15-64, total",Kenya,KEN,22959809.0,23683271.0,24468000.0,25300655.0,26158516.0,27030059.0,27920965.0,28823865.0,29745324.0,30694153.0
432,"Population ages 15-64, total",Kiribati,KIR,62100.0,63118.0,64436.0,65894.0,67173.0,68157.0,69086.0,69667.0,70093.0,70658.0
433,"Population ages 15-64, total","Korea, Rep.",KOR,36276129.0,36594976.0,36823182.0,37017029.0,37254974.0,37424014.0,37473059.0,37454263.0,37470606.0,37330545.0
434,"Population ages 15-64, total",Kuwait,KWT,2237493.0,2377822.0,2526878.0,2677180.0,2817690.0,2941004.0,3025452.0,3090550.0,3140662.0,3183340.0
435,"Population ages 15-64, total",Kyrgyz Republic,KGZ,3572715.0,3613051.0,3661332.0,3715169.0,3767382.0,3822237.0,3874021.0,3930063.0,3993155.0,4060821.0
436,"Population ages 15-64, total",Lao PDR,LAO,3742510.0,3840371.0,3938141.0,4034528.0,4127597.0,4216695.0,4304814.0,4389136.0,4471406.0,4554972.0
437,"Population ages 15-64, total",Latvia,LVA,1420719.0,1386771.0,1360772.0,1336809.0,1314303.0,1293047.0,1275493.0,1254506.0,1232632.0,1212516.0
438,"Population ages 15-64, total",Lebanon,LBN,3359437.0,3527003.0,3740983.0,3968722.0,4173127.0,4333448.0,4464100.0,4546184.0,4589065.0,4603916.0
439,"Population ages 15-64, total",Lesotho,LSO,1205899.0,1214902.0,1225835.0,1239098.0,1254813.0,1272385.0,1285193.0,1299803.0,1315228.0,1330571.0
440,"Population ages 15-64, total",Liberia,LBR,2086678.0,2158036.0,2228463.0,2299276.0,2372020.0,2447750.0,2522749.0,2600263.0,2680391.0,2763023.0
441,"Population ages 15-64, total",Lithuania,LTU,2105015.0,2052782.0,2019161.0,1991560.0,1966235.0,1938149.0,1904209.0,1865942.0,1832561.0,1807978.0
442,"Population ages 15-64, total",Luxembourg,LUX,346568.0,355809.0,365858.0,375779.0,386096.0,396603.0,405770.0,416411.0,425188.0,434111.0
443,"Population ages 15-64, total",Madagascar,MDG,11346586.0,11735082.0,12145870.0,12574331.0,13012457.0,13455384.0,13897810.0,14344418.0,14797535.0,15261686.0
444,"Population ages 15-64, total",Malawi,MWI,7414132.0,7644964.0,7899776.0,8173582.0,8459297.0,8753768.0,9061831.0,9374763.0,9697962.0,10038900.0
445,"Population ages 15-64, total",Malaysia,MYS,18927789.0,19364284.0,19763743.0,20139068.0,20504718.0,20867238.0,21197148.0,21531344.0,21859364.0,22168121.0
446,"Population ages 15-64, total",Maldives,MDV,256571.0,271295.0,287632.0,305023.0,322806.0,340473.0,358509.0,376402.0,392702.0,405913.0
447,"Population ages 15-64, total",Mali,MLI,7489609.0,7690768.0,7904700.0,8132356.0,8375334.0,8635850.0,8915098.0,9212205.0,9529202.0,9868362.0
448,"Population ages 15-64, total",Malta,MLT,287325.0,287186.0,288023.0,289937.0,293398.0,298101.0,302415.0,308331.0,316821.0,326905.0
449,"Population ages 15-64, total",Mauritania,MRT,1942885.0,2005857.0,2071310.0,2139049.0,2209014.0,2281160.0,2351039.0,2424230.0,2500011.0,2577604.0
451,"Population ages 15-64, total",Mexico,MEX,73417829.0,74830472.0,76177534.0,77469712.0,78734900.0,79986921.0,81180237.0,82377996.0,83562863.0,84707882.0
452,"Population ages 15-64, total","Micronesia, Fed. Sts.",FSM,62877.0,63801.0,65103.0,66613.0,68101.0,69425.0,70591.0,71574.0,72423.0,73239.0
453,"Population ages 15-64, total",Moldova,MDA,2098550.0,2104743.0,2111910.0,2117848.0,2119978.0,2102062.0,2067961.0,2018835.0,1968069.0,1921371.0
454,"Population ages 15-64, total",Mongolia,MNG,1881449.0,1909673.0,1938532.0,1966716.0,1993018.0,2017159.0,2036934.0,2056856.0,2076709.0,2096757.0
455,"Population ages 15-64, total",Morocco,MAR,21134003.0,21506040.0,21860228.0,22196314.0,22521348.0,22838672.0,23119709.0,23410351.0,23700192.0,23972902.0
456,"Population ages 15-64, total",Mozambique,MOZ,12060774.0,12396424.0,12749997.0,13126655.0,13533864.0,13975280.0,14439469.0,14938224.0,15467246.0,16019167.0
457,"Population ages 15-64, total",Myanmar,MMR,32965688.0,33408573.0,33876291.0,34359029.0,34840105.0,35303511.0,35708535.0,36082447.0,36438038.0,36790823.0
458,"Population ages 15-64, total",Namibia,NAM,1238780.0,1264118.0,1291305.0,1319406.0,1347092.0,1373974.0,1401235.0,1428325.0,1455605.0,1483893.0
459,"Population ages 15-64, total",Nepal,NPL,15856476.0,15965957.0,16059411.0,16162565.0,16304563.0,16507814.0,16924304.0,17408259.0,17941378.0,18494692.0
460,"Population ages 15-64, total",Netherlands,NLD,11139006.0,11147100.0,11126955.0,11089835.0,11066200.0,11065869.0,11078548.0,11110457.0,11148111.0,11189384.0
461,"Population ages 15-64, total",New Zealand,NZL,2891030.0,2902789.0,2909454.0,2922995.0,2962680.0,3013718.0,3073135.0,3126644.0,3170401.0,3208633.0
462,"Population ages 15-64, total",Nicaragua,NIC,3619900.0,3695345.0,3770335.0,3843717.0,3914194.0,3981208.0,4047894.0,4111795.0,4173535.0,4234100.0
463,"Population ages 15-64, total",Niger,NER,7813925.0,8095485.0,8401782.0,8730960.0,9081434.0,9452637.0,9824443.0,10221463.0,10642540.0,11086839.0
464,"Population ages 15-64, total",Nigeria,NGA,84365597.0,86485958.0,88719102.0,91078088.0,93584269.0,96245480.0,98834061.0,101616615.0,104569626.0,107654969.0
465,"Population ages 15-64, total",North Macedonia,MKD,1448730.0,1455824.0,1459767.0,1461868.0,1462866.0,1462413.0,1458264.0,1453997.0,1449466.0,1443738.0
466,"Population ages 15-64, total",Norway,NOR,3241628.0,3279501.0,3317550.0,3351653.0,3383016.0,3410713.0,3434052.0,3456146.0,3474085.0,3492944.0
467,"Population ages 15-64, total",Oman,OMN,2178348.0,2373092.0,2593623.0,2823602.0,3042674.0,3238348.0,3395398.0,3528129.0,3639527.0,3737862.0
