Index,Series,Name,Code,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19
19,Current health expenditure (% of GDP),Bosnia and Herzegovina,BIH,9.01888275,9.17856026,9.49001503,9.44886494,9.49011135,9.35174561,9.24976635,8.93797779,8.89146042,9.04909897
20,Current health expenditure (% of GDP),Botswana,BWA,6.19402504,5.77690315,6.14145994,6.22438812,5.59793139,5.72629929,5.56052208,6.13453388,5.96867228,6.04836559
21,Current health expenditure (% of GDP),Brazil,BRA,7.94515991,7.78819466,7.73637724,7.97659969,8.39644623,8.90929508,9.16901207,9.47124863,9.46475124,9.5912714
22,Current health expenditure (% of GDP),Brunei Darussalam,BRN,2.27826118,1.86409724,1.85097218,1.898314,1.91436803,2.38708901,2.54828691,2.27036428,2.41289377,2.16031361
23,Current health expenditure (% of GDP),Bulgaria,BGR,7.13800573,7.13881254,7.57609081,7.16768599,7.70713234,7.41093588,7.47690725,7.5206337,7.3434248,7.12611389
24,Current health expenditure (% of GDP),Burkina Faso,BFA,5.2395854,4.6486845,4.60266972,5.56331158,5.00026941,5.13192463,5.95963097,6.02940798,4.90988731,5.46494246
25,Current health expenditure (% of GDP),Burundi,BDI,11.27637577,10.06997776,8.52668476,8.53728485,7.31549168,6.42882729,7.71920919,7.90301847,8.2447691,7.99091434
26,Current health expenditure (% of GDP),Cabo Verde,CPV,4.47555733,4.30527449,5.13365459,5.28994226,5.32722235,4.8200655,4.84664345,5.27825785,5.26637983,4.93621731
27,Current health expenditure (% of GDP),Cambodia,KHM,6.91169882,7.50353193,7.26115417,7.10386801,6.70157766,6.19431591,6.11648464,5.72757244,6.18275642,6.98908329
28,Current health expenditure (% of GDP),Cameroon,CMR,3.75891471,4.01686049,4.0731349,3.78499365,3.95117664,3.74879193,3.72950816,3.49216461,3.46510625,3.59539533
29,Current health expenditure (% of GDP),Canada,CAN,10.69585419,10.40052414,10.50637913,10.40513706,10.24852657,10.73320484,11.02296066,10.83538342,10.80637455,10.84447765
30,Current health expenditure (% of GDP),Central African Republic,CAF,3.8270402,3.87377,3.94020414,4.95162487,4.91660213,5.0343523,5.44400311,6.6654377,10.99530983,7.75300884
31,Current health expenditure (% of GDP),Chad,TCD,4.06023169,3.91046619,3.85607743,4.06645155,4.27316856,4.52395439,5.05077505,4.55722904,4.1669445,4.3536315
32,Current health expenditure (% of GDP),Chile,CHL,6.77489328,6.7717886,7.0209198,7.44478321,7.80729866,8.30269146,8.51866722,9.06854153,9.15850449,9.33272362
33,Current health expenditure (% of GDP),China,CHN,4.23068333,4.34274435,4.56584787,4.71490669,4.77790594,4.93827963,4.97955608,5.06592178,5.16790485,5.3502779
34,Current health expenditure (% of GDP),Colombia,COL,7.07130146,6.78076839,6.74599648,7.01724052,7.18553209,7.52338552,7.53117037,7.67864275,7.62541389,7.70943594
35,Current health expenditure (% of GDP),Comoros,COM,4.99181557,5.3021183,5.17421341,5.09434605,5.23187876,4.60089922,4.65263557,5.26807404,4.90244007,5.17030334
36,Current health expenditure (% of GDP),"Congo, Dem. Rep.",COD,3.86035585,3.26267195,3.30099416,3.56663251,3.97874045,3.96921349,4.36603069,4.15646648,3.30249262,3.53626084
37,Current health expenditure (% of GDP),"Congo, Rep.",COG,1.8517288,1.75237262,1.90971029,1.94347048,1.97311711,2.45668483,2.79067516,2.51812744,1.93649173,2.08331084
38,Current health expenditure (% of GDP),Costa Rica,CRI,8.02937698,8.1219759,7.78642225,7.68229151,7.66376114,7.59196186,7.31724358,7.04522943,7.29572248,7.27393246
39,Current health expenditure (% of GDP),Cote d'Ivoire,CIV,4.41580963,4.39704227,4.42740583,3.71776819,3.73104811,3.21990895,3.35172296,3.30509853,3.11891103,3.29862952
40,Current health expenditure (% of GDP),Croatia,HRV,8.0887022,7.76850891,7.78380489,6.51796293,6.70013046,6.78702879,6.82921791,6.75844765,6.78430557,6.97861767
41,Current health expenditure (% of GDP),Cuba,CUB,10.6880827,11.31298637,9.29940987,10.43099499,12.1412344,12.81401348,12.2177515,11.7113266,11.18745422,11.34020519
42,Current health expenditure (% of GDP),Cyprus,CYP,6.51767111,6.44928503,6.55474567,6.94518471,6.95228958,6.75352287,6.62359428,6.59893894,6.77018547,7.00903225
43,Current health expenditure (% of GDP),Czech Republic,CZE,6.87530422,6.92782688,6.97858715,7.7224946,7.59677219,7.19641542,7.10655022,7.14152622,7.52479792,7.83470726
44,Current health expenditure (% of GDP),Denmark,DNK,10.33315945,10.15291023,10.24135303,10.16958141,10.17190456,10.22716618,10.14456177,10.03963375,10.0707159,9.95583057
45,Current health expenditure (% of GDP),Djibouti,DJI,3.06150365,3.3765645,3.299927,2.92013574,2.96522927,3.07556486,2.7274003,2.46476841,2.26254249,1.79826784
46,Current health expenditure (% of GDP),Dominican Republic,DOM,5.57940006,5.66509867,5.88520575,5.76407719,5.75101709,5.78463221,5.82760334,5.83058023,5.73288918,5.929142
47,Current health expenditure (% of GDP),Ecuador,ECU,6.11657906,6.47737551,6.7622118,6.80123425,6.72399426,7.49149466,7.27991486,7.42857885,7.86490965,7.81824684
48,Current health expenditure (% of GDP),"Egypt, Arab Rep.",EGY,4.1531949,4.35706949,4.71025944,4.91730928,5.02518845,5.33657265,5.36399841,5.63305616,4.947577,4.73997355
49,Current health expenditure (% of GDP),El Salvador,SLV,8.23629189,8.14439964,7.53931999,7.71839237,7.68152761,7.63034058,7.70530415,7.21280336,7.09307051,7.16578436
50,Current health expenditure (% of GDP),Equatorial Guinea,GNQ,1.81856561,1.55349779,1.26357603,1.87566769,2.19292378,2.91533303,3.14450336,2.95976138,3.06170225,3.13503671
51,Current health expenditure (% of GDP),Estonia,EST,6.27124023,5.7667613,5.79034519,5.97791481,6.08077621,6.34629202,6.42956781,6.59183788,6.68642807,6.7304492
52,Current health expenditure (% of GDP),Eswatini,SWZ,8.59125805,8.46997261,7.82028151,7.45686579,7.25702429,7.05950689,6.82044792,6.98103666,7.2573719,6.78069067
53,Current health expenditure (% of GDP),Ethiopia,ETH,5.46637249,4.46897888,4.53959608,4.07506514,4.03363609,3.82317114,3.60033059,3.45336151,3.30818701,3.23808599
54,Current health expenditure (% of GDP),Fiji,FJI,3.416641,3.14293504,3.2655499,3.20040703,3.3686049,3.32468939,3.27979708,3.18689561,3.42045617,3.81607008
55,Current health expenditure (% of GDP),Finland,FIN,9.14202785,9.22303009,9.5857954,9.80534649,9.78115082,9.64523888,9.37796021,9.12670135,9.03608513,9.15348339
56,Current health expenditure (% of GDP),France,FRA,11.22560215,11.18497658,11.29740047,11.41635036,11.54441643,11.4475565,11.47163677,11.33276176,11.18583012,11.05747223
